чт,9/1/2022,22841,22811,30
пт,9/2/2022,22879,22841,38
сб,9/3/2022,22907,22879,28
вс,9/4/2022,22927,22907,20
пн,9/5/2022,22972,22927,45
вт,9/6/2022,22978,22972,6
ср,9/7/2022,23019,22978,41
чт,9/8/2022,23040,23019,21
пт,9/9/2022,23085,23040,45
сб,9/10/2022,23098,23085,13
вс,9/11/2022,23107,23098,9
пн,9/12/2022,23133,23107,26
вт,9/13/2022,23179,23133,46
ср,9/14/2022,23206,23179,27
чт,9/15/2022,23243,23206,37
пт,9/16/2022,23260,23243,17
сб,9/17/2022,23284,23260,24
вс,9/18/2022,23303,23284,19
пн,9/19/2022,23341,23303,38
вт,9/20/2022,23353,23341,12
ср,9/21/2022,23388,23353,35
чт,9/22/2022,23402,23388,14
пт,9/23/2022,23433,23402,31
сб,9/24/2022,23461,23433,28
вс,9/25/2022,23483,23461,22
пн,9/26/2022,23499,23483,16
вт,9/27/2022,23536,23499,37
ср,9/28/2022,23564,23536,28
чт,9/29/2022,23586,23564,22
пт,9/30/2022,23613,23586,27
сб,10/1/2022,23638,23613,25
вс,10/2/2022,23663,23638,25
пн,10/3/2022,23686,23663,23
вт,10/4/2022,23707,23686,21
ср,10/5/2022,23744,23707,37
чт,10/6/2022,23767,23744,23
пт,10/7/2022,23798,23767,31
сб,10/8/2022,23818,23798,20
вс,10/9/2022,23838,23818,20
пн,10/10/2022,23865,23838,27
вт,10/11/2022,23890,23865,25
ср,10/12/2022,23905,23890,15
чт,10/13/2022,23947,23905,42
пт,10/14/2022,23975,23947,28
сб,10/15/2022,24001,23975,26
вс,10/16/2022,24022,24001,21
пн,10/17/2022,24045,24022,23
вт,10/18/2022,24072,24045,27
ср,10/19/2022,24110,24072,38
чт,10/20/2022,24137,24110,27
пт,10/21/2022,24171,24137,34
сб,10/22/2022,24225,24171,54
вс,10/23/2022,24305,24225,80
пн,10/24/2022,24369,24305,64
вт,10/25/2022,24475,24369,106
ср,10/26/2022,24551,24475,76
чт,10/27/2022,24711,24551,160
пт,10/28/2022,24779,24711,68
сб,10/29/2022,24792,24779,13
вс,10/30/2022,24800,24792,8
пн,10/31/2022,24824,24800,24
вт,11/1/2022,24830,24824,6
ср,11/2/2022,24837,24830,7
чт,11/3/2022,24846,24837,9
пт,11/4/2022,24851,24846,5
сб,11/5/2022,24856,24851,5
вс,11/6/2022,24862,24856,6
пн,11/7/2022,24870,24862,8
вт,11/8/2022,24879,24870,9
ср,11/9/2022,24884,24879,5
чт,11/10/2022,24893,24884,9
пт,11/11/2022,24903,24893,10
сб,11/12/2022,24913,24903,10
вс,11/13/2022,24919,24913,6
пн,11/14/2022,24926,24919,7
вт,11/15/2022,24932,24926,6
ср,11/16/2022,24943,24932,11
чт,11/17/2022,24951,24943,8
пт,11/18/2022,24964,24951,13
сб,11/19/2022,24970,24964,6
вс,11/20/2022,24975,24970,5
пн,11/21/2022,24982,24975,7
вт,11/22/2022,24993,24982,11
ср,11/23/2022,25001,24993,8
чт,11/24/2022,25010,25001,9
пт,11/25/2022,25019,25010,9
сб,11/26/2022,25026,25019,7
вс,11/27/2022,25030,25026,4
пн,11/28/2022,25037,25030,7
вт,11/29/2022,25045,25037,8
ср,11/30/2022,25056,25045,11
чт,12/1/2022,25062,25056,6
пт,12/2/2022,25073,25062,11
сб,12/3/2022,25080,25073,7
вс,12/4/2022,25085,25080,5
пн,12/5/2022,25091,25085,6
вт,12/6/2022,25105,25091,14
ср,12/7/2022,25111,25105,6
чт,12/8/2022,25122,25111,11
пт,12/9/2022,25130,25122,8
сб,12/10/2022,25138,25130,8
вс,12/11/2022,25144,25138,6
пн,12/12/2022,25148,25144,4
вт,12/13/2022,25157,25148,9
ср,12/14/2022,25167,25157,10
чт,12/15/2022,25177,25167,10
пт,12/16/2022,25186,25177,9
сб,12/17/2022,25196,25186,10
вс,12/18/2022,25200,25196,4
пн,12/19/2022,25206,25200,6
вт,12/20/2022,25219,25206,13
ср,12/21/2022,25227,25219,8
чт,12/22/2022,25236,25227,9
пт,12/23/2022,25260,25236,24
сб,12/24/2022,25386,25260,126
вс,12/25/2022,25392,25386,6
пн,12/26/2022,25451,25392,59
вт,12/27/2022,25537,25451,86
ср,12/28/2022,25656,25537,119
чт,12/29/2022,25744,25656,88
пт,12/30/2022,25772,25744,28
сб,12/31/2022,25818,25772,46
вс,1/1/2023,25859,25818,41
пн,1/2/2023,25895,25859,36
вт,1/3/2023,25950,25895,55
ср,1/4/2023,25983,25950,33
чт,1/5/2023,26035,25983,52
пт,1/6/2023,26073,26035,38
сб,1/7/2023,26099,26073,26
вс,1/8/2023,26140,26099,41
пн,1/9/2023,26191,26140,51
вт,1/10/2023,26228,26191,37
ср,1/11/2023,26278,26228,50
чт,1/12/2023,26322,26278,44
пт,1/13/2023,26374,26322,52
сб,1/14/2023,26433,26374,59
вс,1/15/2023,26472,26433,39
пн,1/16/2023,26505,26472,33
вт,1/17/2023,26556,26505,51
ср,1/18/2023,26614,26556,58
чт,1/19/2023,26657,26614,43
пт,1/20/2023,26707,26657,50
сб,1/21/2023,26750,26707,43
вс,1/22/2023,26798,26750,48
пн,1/23/2023,26835,26798,37
вт,1/24/2023,26890,26835,55
ср,1/25/2023,26922,26890,32
чт,1/26/2023,26960,26922,38
пт,1/27/2023,27008,26960,48
сб,1/28/2023,27050,27008,42
вс,1/29/2023,27083,27050,33
пн,1/30/2023,27107,27083,24
вт,1/31/2023,27153,27107,46
ср,2/1/2023,27194,27153,41
чт,2/2/2023,27238,27194,44
пт,2/3/2023,27268,27238,30
сб,2/4/2023,27305,27268,37
вс,2/5/2023,27337,27305,32
пн,2/6/2023,27365,27337,28
вт,2/7/2023,27402,27365,37
ср,2/8/2023,27451,27402,49
чт,2/9/2023,27483,27451,32
пт,2/10/2023,27520,27483,37
сб,2/11/2023,27562,27520,42
вс,2/12/2023,27587,27562,25
пн,2/13/2023,27625,27587,38
вт,2/14/2023,27668,27625,43
ср,2/15/2023,27688,27668,20
чт,2/16/2023,27731,27688,43
пт,2/17/2023,27769,27731,38
сб,2/18/2023,27782,27769,13
вс,2/19/2023,27785,27782,3
пн,2/20/2023,27788,27785,3
вт,2/21/2023,27830,27788,42
ср,2/22/2023,27872,27830,42
чт,2/23/2023,27914,27872,42
пт,2/24/2023,27948,27914,34
сб,2/25/2023,27978,27948,30
вс,2/26/2023,28015,27978,37
пн,2/27/2023,28042,28015,27
вт,2/28/2023,,28042,-28042
